Use_ID;Use_ENG;Use_GER
10;Residential;Wohnnutzung
70;Weekendhouses and Gartening;Wochenendhaus- und kleingartenaehnliche Nutzung
21;Mixed use;Mischnutzung
30;Core Area;Kerngebietsnutzung
40;Commercial, Industrial, Retail;Gewerbe- und Industrienutzung, grossflaechiger Einzelhandel
50;Community service;Gemeinbedarfs- und Sondernutzung
60;Suppy and disposal;Ver- und Entsorgung
80;Traffic area (excluding roads);Verkehrsflaeche (ohne Strassen)
90;Construction site;Baustelle
100;Forest;Wald
121;Green space;Gruenland
122;Agricultural;Ackerland
130;Parcs and green spaces;Park / Gruenflaeche
140;Square Promenade;Stadtplatz / Promenade
150;Cemetery;Friedhof
160;Gardening Area;Kleingartenanlage
171;Fallow land, unused;Brachflaeche
172;Fallow land, unused;Brachflaeche
173;Fallow land, unused;Brachflaeche
190;Sport;Sportnutzung
200;Tree nursery, horticultural;Baumschule / Gartenbau
110;Water body;Gewaesser
300;Road;Strassen
